epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0608,0.00095,146.816,0.00011,0,0,0,0,0.00062,0.0006,0.00012,0.00330128,0.00330128,0.00330128
2,105.4,0,2.41738,0,0,0,0,0,0,0,0,0.0066346,0.0066346,0.0066346
3,155.951,0,0,0,0,0,0,0,0,0,0,0.00996785,0.00996785,0.00996785
4,206.488,0,0,0,0,0,0,0,0,0,0,0.00999978,0.00999978,0.00999978
5,257.181,0,0,0,0,0,0,0,0,0,0,0.00999961,0.00999961,0.00999961
6,308.57,0,0,0,0,0,0,0,0,0,0,0.00999939,0.00999939,0.00999939
7,360.398,0,0,0,0,0,0,0,0,0,0,0.00999912,0.00999912,0.00999912
8,412.764,0,0,0,0,0,0,0,0,0,0,0.0099988,0.0099988,0.0099988
1,50.5126,0.00095,146.816,0.00011,0,0,0,0,0.00062,0.0006,0.00012,0.00330128,0.00330128,0.00330128
2,96.8659,0,2.41738,0,0,0,0,0,0,0,0,0.0066346,0.0066346,0.0066346
3,142.902,0,0,0,0,0,0,0,0,0,0,0.00996785,0.00996785,0.00996785
4,188.739,0,0,0,0,0,0,0,0,0,0,0.00999978,0.00999978,0.00999978
5,234.508,0,0,0,0,0,0,0,0,0,0,0.00999961,0.00999961,0.00999961
6,280.144,0,0,0,0,0,0,0,0,0,0,0.00999939,0.00999939,0.00999939
7,326.322,0,0,0,0,0,0,0,0,0,0,0.00999912,0.00999912,0.00999912
8,373.525,0,0,0,0,0,0,0,0,0,0,0.0099988,0.0099988,0.0099988
9,420.855,0,0,0,0,0,0,0,0,0,0,0.00999844,0.00999844,0.00999844
10,468.082,0,0,0,0,0,0,0,0,0,0,0.00999802,0.00999802,0.00999802
11,515.499,0,0,0,0,0,0,0,0,0,0,0.00999756,0.00999756,0.00999756
12,563.96,0,0,0,0,0,0,0,0,0,0,0.00999704,0.00999704,0.00999704
13,611.201,0,0,0,0,0,0,0,0,0,0,0.00999648,0.00999648,0.00999648
14,657.827,0,0,0,0,0,0,0,0,0,0,0.00999587,0.00999587,0.00999587
15,702.963,0,0,0,0,0,0,0,0,0,0,0.00999521,0.00999521,0.00999521
16,748.12,0,0,0,0,0,0,0,0,0,0,0.0099945,0.0099945,0.0099945
17,793.55,0,0,0,0,0,0,0,0,0,0,0.00999375,0.00999375,0.00999375
18,839.069,0,0,0,0,0,0,0,0,0,0,0.00999294,0.00999294,0.00999294
19,884.502,0,0,0,0,0,0,0,0,0,0,0.00999209,0.00999209,0.00999209
20,930.183,0,0,0,0,0,0,0,0,0,0,0.00999118,0.00999118,0.00999118
21,975.347,0,0,0,0,0,0,0,0,0,0,0.00999023,0.00999023,0.00999023
22,1020.71,0,0,0,0,0,0,0,0,0,0,0.00998923,0.00998923,0.00998923
23,1066.03,0,0,0,0,0,0,0,0,0,0,0.00998818,0.00998818,0.00998818
24,1111.15,0,0,0,0,0,0,0,0,0,0,0.00998708,0.00998708,0.00998708
25,1156.7,0,0,0,0,0,0,0,0,0,0,0.00998594,0.00998594,0.00998594
26,1202.1,0,0,0,0,0,0,0,0,0,0,0.00998474,0.00998474,0.00998474
27,1247.34,0,0,0,0,0,0,0,0,0,0,0.0099835,0.0099835,0.0099835
28,1292.74,0,0,0,0,0,0,0,0,0,0,0.0099822,0.0099822,0.0099822
29,1337.9,0,0,0,0,0,0,0,0,0,0,0.00998086,0.00998086,0.00998086
30,1383.09,0,0,0,0,0,0,0,0,0,0,0.00997947,0.00997947,0.00997947
31,1428.38,0,0,0,0,0,0,0,0,0,0,0.00997803,0.00997803,0.00997803
32,1473.69,0,0,0,0,0,0,0,0,0,0,0.00997654,0.00997654,0.00997654
33,1519.19,0,0,0,0,0,0,0,0,0,0,0.00997501,0.00997501,0.00997501
34,1564.35,0,0,0,0,0,0,0,0,0,0,0.00997342,0.00997342,0.00997342
35,1609.62,0,0,0,0,0,0,0,0,0,0,0.00997179,0.00997179,0.00997179
36,1655.09,0,0,0,0,0,0,0,0,0,0,0.00997011,0.00997011,0.00997011
37,1700.35,0,0,0,0,0,0,0,0,0,0,0.00996838,0.00996838,0.00996838
38,1745.71,0,0,0,0,0,0,0,0,0,0,0.0099666,0.0099666,0.0099666
39,1791.25,0,0,0,0,0,0,0,0,0,0,0.00996477,0.00996477,0.00996477
40,1836.46,0,0,0,0,0,0,0,0,0,0,0.00996289,0.00996289,0.00996289
41,1882.16,0,0,0,0,0,0,0,0,0,0,0.00996097,0.00996097,0.00996097
42,1927.51,0,0,0,0,0,0,0,0,0,0,0.00995899,0.00995899,0.00995899
43,1972.74,0,0,0,0,0,0,0,0,0,0,0.00995697,0.00995697,0.00995697
44,2018.2,0,0,0,0,0,0,0,0,0,0,0.0099549,0.0099549,0.0099549
45,2063.33,0,0,0,0,0,0,0,0,0,0,0.00995278,0.00995278,0.00995278
46,2108.68,0,0,0,0,0,0,0,0,0,0,0.00995062,0.00995062,0.00995062
47,2154.03,0,0,0,0,0,0,0,0,0,0,0.0099484,0.0099484,0.0099484
48,2199,0,0,0,0,0,0,0,0,0,0,0.00994614,0.00994614,0.00994614
49,2244.7,0,0,0,0,0,0,0,0,0,0,0.00994383,0.00994383,0.00994383
50,2290.01,0,0,0,0,0,0,0,0,0,0,0.00994147,0.00994147,0.00994147
51,2335.48,0,0,0,0,0,0,0,0,0,0,0.00993906,0.00993906,0.00993906
52,2380.9,0,0,0,0,0,0,0,0,0,0,0.0099366,0.0099366,0.0099366
53,2426.06,0,0,0,0,0,0,0,0,0,0,0.0099341,0.0099341,0.0099341
54,2471.36,0,0,0,0,0,0,0,0,0,0,0.00993154,0.00993154,0.00993154
55,2516.71,0,0,0,0,0,0,0,0,0,0,0.00992894,0.00992894,0.00992894
56,2561.69,0,0,0,0,0,0,0,0,0,0,0.00992629,0.00992629,0.00992629
57,2607.37,0,0,0,0,0,0,0,0,0,0,0.00992359,0.00992359,0.00992359
58,2652.81,0,0,0,0,0,0,0,0,0,0,0.00992085,0.00992085,0.00992085
59,2698.77,0,0,0,0,0,0,0,0,0,0,0.00991805,0.00991805,0.00991805
60,2744.24,0,0,0,0,0,0,0,0,0,0,0.00991521,0.00991521,0.00991521
61,2789.31,0,0,0,0,0,0,0,0,0,0,0.00991232,0.00991232,0.00991232
62,2834.57,0,0,0,0,0,0,0,0,0,0,0.00990938,0.00990938,0.00990938
63,2879.75,0,0,0,0,0,0,0,0,0,0,0.0099064,0.0099064,0.0099064
64,2924.84,0,0,0,0,0,0,0,0,0,0,0.00990336,0.00990336,0.00990336
65,2970.02,0,0,0,0,0,0,0,0,0,0,0.00990028,0.00990028,0.00990028
66,3015.09,0,0,0,0,0,0,0,0,0,0,0.00989715,0.00989715,0.00989715
67,3060.09,0,0,0,0,0,0,0,0,0,0,0.00989398,0.00989398,0.00989398
68,3105.66,0,0,0,0,0,0,0,0,0,0,0.00989075,0.00989075,0.00989075
69,3150.75,0,0,0,0,0,0,0,0,0,0,0.00988748,0.00988748,0.00988748
70,3196.01,0,0,0,0,0,0,0,0,0,0,0.00988416,0.00988416,0.00988416
71,3241.12,0,0,0,0,0,0,0,0,0,0,0.00988079,0.00988079,0.00988079
72,3286.39,0,0,0,0,0,0,0,0,0,0,0.00987737,0.00987737,0.00987737
73,3332.09,0,0,0,0,0,0,0,0,0,0,0.00987391,0.00987391,0.00987391
74,3377.37,0,0,0,0,0,0,0,0,0,0,0.0098704,0.0098704,0.0098704
