epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.82,1.03852,4.94944,1.60106,0.0171,0.23602,0.02417,0.01468,1.50893,3.87655,2.17202,0.00330097,0.00330097,0.00330097
2,246.871,1.10838,4.77943,1.70973,0.43799,0.08923,0.02154,0.01076,1.55528,3.76378,2.52656,0.0066342,0.0066342,0.0066342
3,488.065,1.26077,4.73573,1.87559,0.22878,0.14093,0.00258,0.00078,3.07761,48.9607,6.34349,0.00996703,0.00996703,0.00996703
4,539.067,1.45885,4.7442,2.09665,0.53331,0.10609,0.01054,0.00467,2.51958,12.3704,6.41303,0.00999863,0.00999863,0.00999863
5,589.447,1.44885,4.61423,2.08783,0.50979,0.11984,0.01639,0.00694,1.85575,4.87887,3.09739,0.00999756,0.00999756,0.00999756
6,639.691,1.41489,4.3432,2.06731,0.23816,0.14409,0.01629,0.00821,1.836,4.75867,2.97258,0.00999618,0.00999618,0.00999618
7,689.514,1.37011,4.09894,2.01484,0.71156,0.14155,0.02516,0.01362,1.92526,7.06502,3.09916,0.0099945,0.0099945,0.0099945
8,739.393,1.34618,3.90868,1.97377,0.46123,0.08521,0.02911,0.01616,1.47782,3.51953,2.25394,0.00999252,0.00999252,0.00999252
9,794.342,1.34064,3.80195,1.9601,0.44574,0.09268,0.03227,0.01828,1.59518,3.45248,2.4833,0.00999023,0.00999023,0.00999023
10,854.367,1.31047,3.632,1.91852,0.50866,0.06224,0.05737,0.0358,1.48175,3.27037,2.22628,0.00998764,0.00998764,0.00998764
11,913.654,1.30334,3.54714,1.9273,0.56133,0.08176,0.0563,0.03489,1.43203,3.29106,2.16282,0.00998474,0.00998474,0.00998474
12,971.628,1.27891,3.51359,1.89093,0.34663,0.1288,0.05547,0.03486,1.42208,3.28283,2.1379,0.00998154,0.00998154,0.00998154
13,1027.99,1.26715,3.43255,1.87596,0.66929,0.05212,0.04976,0.02995,1.56328,3.23796,2.2362,0.00997803,0.00997803,0.00997803
14,1085.12,1.25574,3.36362,1.86457,0.45254,0.12022,0.05578,0.03537,1.53814,3.2976,2.34303,0.00997422,0.00997422,0.00997422
15,1141.36,1.25954,3.32744,1.84573,0.40317,0.12873,0.06352,0.04125,1.32029,3.13879,2.04011,0.00997011,0.00997011,0.00997011
16,1200.52,1.23741,3.30095,1.83728,0.50253,0.12812,0.05276,0.03281,1.45919,3.26879,2.22567,0.00996569,0.00996569,0.00996569
17,1264.43,1.23721,3.29613,1.83848,0.33394,0.13505,0.05953,0.03935,1.29547,3.12451,1.97262,0.00996097,0.00996097,0.00996097
18,1329.31,1.22055,3.23931,1.82587,0.47205,0.15998,0.05436,0.03588,1.30828,3.26102,1.99449,0.00995594,0.00995594,0.00995594
19,1396.39,1.21986,3.25084,1.81803,0.51606,0.16278,0.06656,0.04465,1.42886,3.33301,2.16322,0.00995062,0.00995062,0.00995062
20,1459.28,1.20068,3.1672,1.79573,0.48955,0.13633,0.07183,0.04716,1.29991,3.09228,1.96921,0.00994499,0.00994499,0.00994499
21,1522.24,1.19712,3.11144,1.78694,0.4159,0.1649,0.07841,0.05231,1.23665,3.04539,1.91826,0.00993906,0.00993906,0.00993906
22,1587.01,1.18579,3.10516,1.77456,0.59428,0.14542,0.06587,0.04183,1.36418,3.37387,1.99267,0.00993282,0.00993282,0.00993282
23,1649.39,1.17134,3.10664,1.77434,0.3799,0.15839,0.07674,0.04892,1.37607,3.22698,2.10656,0.00992629,0.00992629,0.00992629
24,1710.59,1.14142,3.04507,1.73175,0.43503,0.14151,0.08671,0.05856,1.244,2.88228,1.88941,0.00991946,0.00991946,0.00991946
25,1773.58,1.17085,3.02036,1.75721,0.43385,0.17965,0.08571,0.05492,1.32889,3.05656,2.0062,0.00991232,0.00991232,0.00991232
26,1836.78,1.15265,2.97864,1.74658,0.3278,0.16393,0.08891,0.05936,1.20124,2.96688,1.86168,0.00990489,0.00990489,0.00990489
27,1899.67,1.14326,2.96834,1.73347,0.48413,0.17601,0.10135,0.06897,1.23059,2.94736,1.88593,0.00989715,0.00989715,0.00989715
28,1963.39,1.13643,2.95545,1.71302,0.37728,0.18658,0.09698,0.06494,1.24537,2.95698,1.9031,0.00988912,0.00988912,0.00988912
29,2024.88,1.1266,2.95384,1.70907,0.43782,0.18348,0.07278,0.05065,1.29485,3.18201,1.96884,0.00988079,0.00988079,0.00988079
30,2090.89,1.11069,2.89913,1.71177,0.39495,0.23103,0.10739,0.07521,1.23114,2.99209,1.90414,0.00987216,0.00987216,0.00987216
31,2153.25,1.11368,2.89098,1.69669,0.41224,0.22552,0.11173,0.07728,1.25524,2.98677,1.90062,0.00986323,0.00986323,0.00986323
